target,region,n_sites_tested,hits,observed_frac_pct,expected_frac_pct,enrichment_ratio,p_value,significant_at_0.05
flu,H3 antigenic sites A-E,5,5,100.0,39.43,2.54,0.0081,YES
rsv_a (CCR),RSV G CCR 157-198,3,0,0.0,13.9,0.0,1.0,no
rsv_a (CX3C),RSV G CX3C 182-186,3,0,0.0,1.58,0.0,1.0,no
rsv_b (CCR),RSV G CCR 157-198,3,0,0.0,13.9,0.0,1.0,no
rsv_b (CX3C),RSV G CX3C 182-186,3,0,0.0,1.58,0.0,1.0,no
rsv_combined (CCR),RSV G CCR 157-198,6,0,0.0,14.1,0.0,1.0,no
rsv_combined (CX3C),RSV G CX3C 182-186,6,0,0.0,1.66,0.0,1.0,no
